iter	Passed	Remaining
894	1218	142
895	1219	141
896	1221	140
897	1223	138
898	1224	137
899	1225	136
900	1226	134
901	1227	133
902	1228	131
903	1229	130
904	1230	129
905	1231	127
906	1232	126
907	1233	124
908	1234	123
909	1235	122
910	1237	120
911	1238	119
912	1240	118
913	1241	116
914	1242	115
915	1243	114
916	1244	112
917	1245	111
918	1246	109
919	1247	108
920	1248	107
921	1249	105
922	1251	104
923	1252	103
924	1254	101
925	1255	100
926	1256	98
927	1258	97
928	1259	96
929	1260	94
930	1261	93
931	1261	92
932	1262	90
933	1263	89
934	1265	87
935	1266	86
936	1268	85
937	1269	83
938	1271	82
939	1272	81
940	1273	79
941	1274	78
942	1275	77
943	1275	75
944	1276	74
945	1277	72
946	1278	71
947	1279	70
948	1281	68
949	1283	67
950	1284	66
951	1285	64
952	1286	63
953	1287	62
954	1288	60
955	1289	59
956	1290	57
957	1291	56
958	1292	55
959	1293	53
960	1295	52
961	1298	51
962	1300	49
963	1301	48
964	1302	47
965	1304	45
966	1305	44
967	1306	43
968	1307	41
969	1308	40
970	1309	39
971	1311	37
972	1313	36
973	1314	35
974	1315	33
975	1316	32
976	1318	31
977	1319	29
978	1320	28
979	1322	26
980	1323	25
981	1325	24
982	1327	22
983	1328	21
984	1329	20
985	1330	18
986	1331	17
987	1332	16
988	1333	14
989	1334	13
990	1335	12
991	1336	10
992	1338	9
993	1339	8
994	1340	6
995	1342	5
996	1343	4
997	1344	2
998	1345	1
999	1346	0
